s,h,theta,w,x
6.759935252784537128e-04,7.735294811088761673e-04,1.441281407341315823e+00,-1.136959960854603082e+02,5.193925774878550248e-05
6.852537105562407247e-04,7.827114797007113985e-04,1.440233048537187255e+00,-1.127299456132014512e+02,5.313523975440908042e-05
6.945138958340277367e-04,7.918922197624805523e-04,1.439193550690600620e+00,-1.117821306445676157e+02,5.434084779003437409e-05
7.037740811118147486e-04,8.010717019969647778e-04,1.438162747404740704e+00,-1.108520218261363084e+02,5.555599918610420275e-05
7.130342663896017605e-04,8.102499271569450507e-04,1.437140477088115320e+00,-1.099391104908308989e+02,5.678061282352637616e-05
7.222944516673888808e-04,8.194268960427306256e-04,1.436126582767742743e+00,-1.090429076432516098e+02,5.801460908897422097e-05
7.315546369451760012e-04,8.286026094998095700e-04,1.435120911911454078e+00,-1.081629430048111260e+02,5.925790983192213550e-05
7.408148222229630131e-04,8.377770684166145490e-04,1.434123316258776537e+00,-1.072987641145637241e+02,6.051043832333168651e-05
7.593351927785371453e-04,8.561222263849414598e-04,1.432151777928283298e+00,-1.056160377800863586e+02,6.303380010848557379e-05
7.778555633341111691e-04,8.744623778361148301e-04,1.430210861187770410e+00,-1.039914343023566090e+02,6.559333008876587110e-05
7.963759338896851930e-04,8.927975312195297062e-04,1.428299518251649580e+00,-1.024218949531214093e+02,6.818845678856419999e-05
8.148963044452593252e-04,9.111276954912250151e-04,1.426416755964728944e+00,-1.009045756685778770e+02,7.081862826636131094e-05
8.334166750008334575e-04,9.294528800642426090e-04,1.424561632003241041e+00,-9.943682831435485525e+01,7.348331109783489909e-05
8.519370455564075897e-04,9.477730947634846644e-04,1.422733251404433519e+00,-9.801618389753566873e+01,7.618198942957808532e-05
8.704574161119816135e-04,9.660883497846168904e-04,1.420930763390878759e+00,-9.664033749181791677e+01,7.891416409732921421e-05
8.889777866675556374e-04,9.843986556566169336e-04,1.419153358459693592e+00,-9.530713467369363912e+01,8.167935180324171855e-05
9.074981572231297696e-04,1.002704023207614745e-03,1.417400265710342833e+00,-9.401455929451412885e+01,8.447708434727516091e-05
9.260185277787037934e-04,1.021004463533706046e-03,1.415670750387730825e+00,-9.276072243627523051e+01,8.730690790827707671e-05
9.445388983342778173e-04,1.039299987970458304e-03,1.413964111619907316e+00,-9.154385241857684719e+01,9.016838237075751501e-05
9.630592688898519495e-04,1.057590608066855944e-03,1.412279680332021670e+00,-9.036228574101166089e+01,9.306108069374109974e-05
