s,h,theta,w,x
1.203944492602224207e-04,2.203624412462698167e-04,1.532792417127344820e+00,-2.595225772439669640e+02,2.389615526439992273e-06
1.234814864207409450e-04,2.234472021904418426e-04,1.531994507386432058e+00,-2.574261079351604167e+02,2.506906769169273154e-06
1.265685235812594829e-04,2.265318679718765862e-04,1.531203009179504360e+00,-2.553685375137472988e+02,2.626659372755301173e-06
1.296555607417779936e-04,2.296164374264076551e-04,1.530417804219773359e+00,-2.533487108956039435e+02,2.748853483826987472e-06
1.327425979022965044e-04,2.327009094216081605e-04,1.529638777711843645e+00,-2.513655207561693885e+02,2.873469614183355730e-06
1.358296350628150151e-04,2.357852828557383906e-04,1.528865818208247074e+00,-2.494179049871258371e+02,3.000488630036958115e-06
1.389166722233335259e-04,2.388695566567382886e-04,1.528098817473569682e+00,-2.475048443188803446e+02,3.129891741698765646e-06
1.420037093838520637e-04,2.419537297812621602e-04,1.527337670355678689e+00,-2.456253600960785661e+02,3.261660493681180707e-06
1.481777837048891123e-04,2.481217699655296669e-04,1.525832531056113828e+00,-2.419633970500225075e+02,3.529893016713476968e-06
1.543518580259261609e-04,2.542893956018689623e-04,1.524349616264987217e+00,-2.384249229470586613e+02,3.807409300202261754e-06
1.605259323469632095e-04,2.604565992875800657e-04,1.522888184073430518e+00,-2.350033741541937502e+02,4.094071647734898138e-06
1.667000066680002310e-04,2.666233739993368289e-04,1.521447531593813851e+00,-2.316926660818760979e+02,4.389746946014834428e-06
1.728740809890372797e-04,2.727897130704457960e-04,1.520026992142144540e+00,-2.284871487111745978e+02,4.694306424311003080e-06
1.790481553100743283e-04,2.789556101698154457e-04,1.518625932679249502e+00,-2.253815671192442096e+02,5.007625431253863984e-06
1.852222296311113769e-04,2.851210592824789873e-04,1.517243751481962333e+00,-2.223710263461326520e+02,5.329583227386138613e-06
1.913963039521484255e-04,2.912860546915301972e-04,1.515879876019281536e+00,-2.194509600444307011e+02,5.660062792053190226e-06
1.975703782731854741e-04,2.974505909613463662e-04,1.514533761011658042e+00,-2.166171024352145196e+02,5.998950643371993442e-06
2.037444525942225227e-04,3.036146629219878767e-04,1.513204886654283321e+00,-2.138654631622217721e+02,6.346136670151923338e-06
2.099185269152595713e-04,3.097782656546725502e-04,1.511892756987601949e+00,-2.111923046936787216e+02,6.701513974758253090e-06
2.160926012362966199e-04,3.159413944782352092e-04,1.510596898400268007e+00,-2.085941219696059648e+02,7.064978726012416049e-06
2.222666755573336685e-04,3.221040449364910292e-04,1.509316858251510407e+00,-2.060676240333542353e+02,7.436430021313988359e-06
2.284407498783707171e-04,3.282662127864294991e-04,1.508052203601373709e+00,-2.036097174208362048e+02,7.815769757249527513e-06
2.346148241994077928e-04,3.344278939871724726e-04,1.506802520038600379e+00,-2.012174911104653745e+02,8.202902508024331919e-06
2.407888985204448414e-04,3.405890846896360291e-04,1.505567410597064004e+00,-1.988882028620378719e+02,8.597735411116143135e-06
2.469629728414818900e-04,3.467497812268428023e-04,1.504346494752650587e+00,-1.966192667943975891e+02,9.000178059605744556e-06
2.531370471625189657e-04,3.529099801048338181e-04,1.503139407493355950e+00,-1.944082420702804370e+02,9.410142400689204854e-06
2.593111214835559872e-04,3.590696779941359861e-04,1.501945798456124859e+00,-1.922528225727178040e+02,9.827542639921067562e-06
2.654851958045930087e-04,3.652288717217437196e-04,1.500765331124635837e+00,-1.901508274711843569e+02,1.025229515077759367e-05
2.716592701256300302e-04,3.713875582635773882e-04,1.499597682082815187e+00,-1.881001925876316534e+02,1.068431838916478606e-05
2.778333444466670517e-04,3.775457347373841247e-04,1.498442540319398608e+00,-1.860989624829284423e+02,1.112353281252808979e-05
2.840074187677041275e-04,3.837033983960500320e-04,1.497299606579309161e+00,-1.841452831932618608e+02,1.156986080324941243e-05
2.901814930887412032e-04,3.898605466212948971e-04,1.496168592758038374e+00,-1.822373955539353290e+02,1.202322659604316126e-05
2.963555674097782247e-04,3.960171769177229574e-04,1.495049221335577716e+00,-1.803736290548886245e+02,1.248355620908647960e-05
3.025296417308152462e-04,4.021732869072058110e-04,1.493941224846774718e+00,-1.785523961783046900e+02,1.295077737864009057e-05
3.087037160518523219e-04,4.083288743235748684e-04,1.492844345385275551e+00,-1.767721871739694279e+02,1.342481949693536766e-05
3.148777903728893976e-04,4.144839370076029597e-04,1.491758334138478359e+00,-1.750315652327175542e+02,1.390561355312077148e-05
3.210518646939264191e-04,4.206384729022561797e-04,1.490682950951146779e+00,-1.733291620224109124e+02,1.439309207707663642e-05
3.272259390149634948e-04,4.267924800481991110e-04,1.489617963915551568e+00,-1.716636735545310444e+02,1.488718908592173496e-05
3.334000133360005705e-04,4.329459565795354815e-04,1.488563148986183693e+00,-1.700338563526844951e+02,1.538784003304812686e-05
3.395740876570375920e-04,4.390989007197718423e-04,1.487518289617260070e+00,-1.684385238971718479e+02,1.589498175953299111e-05
3.457481619780746677e-04,4.452513107779885993e-04,1.486483176421388830e+00,-1.668765433223050252e+02,1.640855244778694855e-05
3.519222362991117434e-04,4.514031851452059304e-04,1.485457606847899292e+00,-1.653468323454125368e+02,1.692849157730845217e-05
3.580963106201487649e-04,4.575545222909335285e-04,1.484441384879467973e+00,-1.638483564084812372e+02,1.745473988242312639e-05
