s,h,theta,w,x
3.704074111114814930e-05,1.370407309584125344e-04,1.569541469205527839e+00,-3.107033663680089575e+01,2.232745598207843235e-08
4.012746953707716456e-05,1.401274567644431447e-04,1.569446191705140548e+00,-3.066528039862886601e+01,2.620085955712178508e-08
4.321419796300617305e-05,1.432141821760751299e-04,1.569352146539785720e+00,-3.027177224544967160e+01,3.036835865138458821e-08
4.630092638893518154e-05,1.463009071712415878e-04,1.569259298889099208e+00,-2.988928323932438502e+01,3.482614934743033110e-08
4.938765481486419681e-05,1.493876317287605687e-04,1.569167615512395697e+00,-2.951731829790552908e+01,3.957053520763465356e-08
5.247438324079321207e-05,1.524743558282911390e-04,1.569077064648547681e+00,-2.915541340574894491e+01,4.459792239826882526e-08
5.556111166672222056e-05,1.555610794502921537e-04,1.568987615924029466e+00,-2.880313310570791785e+01,4.990481512261952664e-08
5.864784009265123582e-05,1.586478025759836049e-04,1.568899240268315287e+00,-2.846006823736448510e+01,5.548781133794261061e-08
6.173456851858025109e-05,1.617345251873104363e-04,1.568811909835914120e+00,-2.812583389391176780e+01,6.134359873355141118e-08
6.482129694450925958e-05,1.648212472669086353e-04,1.568725597934408134e+00,-2.780006757268561302e+01,6.746895094955480834e-08
6.790802537043826807e-05,1.679079687980731400e-04,1.568640278957926348e+00,-2.748242749776638405e+01,7.386072401771409942e-08
7.099475379636729011e-05,1.709946897647278343e-04,1.568555928325556570e+00,-2.717259109582454712e+01,8.051585300764214360e-08
7.408148222229629860e-05,1.740814101513971958e-04,1.568472522424247506e+00,-2.687025360874239865e+01,8.743134886310215714e-08
7.716821064822530708e-05,1.771681299431796517e-04,1.568390038555799393e+00,-2.657512682857120723e+01,9.460429541454708561e-08
8.025493907415432913e-05,1.802548491257223711e-04,1.568308454887588299e+00,-2.628693794212998114e+01,1.020318465552793247e-07
8.334166750008333761e-05,1.833415676851973580e-04,1.568227750406702148e+00,-2.600542847406141078e+01,1.097112235697065886e-07
8.642839592601234610e-05,1.864282856082791716e-04,1.568147904877199350e+00,-2.573035331846840990e+01,1.176397126031635466e-07
8.951512435194135459e-05,1.895150028821235397e-04,1.568068898800232258e+00,-2.546147985039066342e+01,1.258146622636602436e-07
9.260185277787036308e-05,1.926017194943472472e-04,1.567990713376799405e+00,-2.519858710936961543e+01,1.342334813467152612e-07
9.568858120379938512e-05,1.956884354330090268e-04,1.567913330472915590e+00,-2.494146504821360111e+01,1.428936366751594128e-07
9.877530962972839361e-05,1.987751506865915617e-04,1.567836732587008397e+00,-2.468991384082999829e+01,1.517926510464465679e-07
1.018620380556574021e-04,2.018618652439843001e-04,1.567760902819367530e+00,-2.444374324365324114e+01,1.609281012806003028e-07
1.049487664815864241e-04,2.049485790944671662e-04,1.567685824843487730e+00,-2.420277200577917398e+01,1.702976163624592855e-07
1.080354949075154462e-04,2.080352922276950821e-04,1.567611482879164297e+00,-2.396682732342827293e+01,1.798988756723768032e-07
1.111222233334444547e-04,2.111220046336832778e-04,1.567537861667208210e+00,-2.373574433481195456e+01,1.897296072999652264e-07
1.142089517593734632e-04,2.142087163027933585e-04,1.567464946445663587e+00,-2.350936565187535265e+01,1.997875864358859033e-07
1.172956801853024852e-04,2.172954272257199694e-04,1.567392722927416937e+00,-2.328754092574358481e+01,2.100706338370473496e-07
1.203824086112314937e-04,2.203821373934780560e-04,1.567321177279099587e+00,-2.307012644301194371e+01,2.205766143609157160e-07
1.234691370371605022e-04,2.234688467973909110e-04,1.567250296101193152e+00,-2.285698475029931842e+01,2.313034355649465770e-07
1.265558654630895242e-04,2.265555554290785731e-04,1.567180066409251005e+00,-2.264798430473211965e+01,2.422490463674238035e-07
1.296425938890185463e-04,2.296422632804468768e-04,1.567110475616163567e+00,-2.244299914824730990e+01,2.534114357662613759e-07
1.327293223149475683e-04,2.327289703436769897e-04,1.567041511515393948e+00,-2.224190860380057444e+01,2.647886316125462102e-07
1.358160507408765632e-04,2.358156766112153838e-04,1.566973162265118624e+00,-2.204459699174258347e+01,2.763786994358268099e-07
1.389027791668055582e-04,2.389023820757643754e-04,1.566905416373216342e+00,-2.185095336478450179e+01,2.881797413183543592e-07
1.419895075927345802e-04,2.419890867302728829e-04,1.566838262683047267e+00,-2.166087126011605690e+01,3.001898948156577113e-07
1.481629644445925972e-04,2.481624935821447877e-04,1.566705688879065805e+00,-2.129098680915997122e+01,3.246247690263684989e-07
1.543364212964506142e-04,2.543358971150329328e-04,1.566575357813881686e+00,-2.093417316840439568e+01,3.498780752675839669e-07
1.605098781483086311e-04,2.605092972805637410e-04,1.566447191022108498e+00,-2.058971819752645160e+01,3.759359677676659583e-07
1.666833350001666481e-04,2.666826940335587787e-04,1.566321114269218384e+00,-2.025696250096320483e+01,4.027850851618968819e-07
1.728567918520246922e-04,2.728560873318233910e-04,1.566197057241486945e+00,-1.993529448602890142e+01,4.304125243736358131e-07
