theta_rad,theta_deg,viscosity_ratio,Q,log_c,c,force_intercept,slope_expected,slope_fitted,slope_relative_error,plateau_standard_deviation,plateau_half_drift,fit_lower,fit_upper,inner_radius,outer_radius,radial_cells,angular_cells_a,angular_cells_b,velocity_dofs,pressure_dofs,interface_constraints,linear_system_backward_error,constraint_relative_error,generator_version,generator_source_sha256,mesh_delta_Q,inner_radius_delta_Q,outer_radius_delta_Q,fit_window_delta_Q,plateau_half_drift_Q,max_linear_system_backward_error,max_constraint_relative_error,estimated_error_Q,log10_viscosity_ratio,converged
0.7417649320975901,42.5,0.042169650342858224,-0.29935993827654683,0.9071913497708204,2.4773547299738614,-4.996733792241389,3.845534747568859,3.8455411781441144,1.672218736148423e-06,7.164875712699923e-05,2.131747185174504e-05,100000.0,10000000.0,1e-08,100000000.0,480,10,32,165292,21164,2877,2.284502846916382e-16,4.032261560848736e-17,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.0001284961407823637,1.4573381523774742e-07,1.3176969271277983e-07,5.0367822367114456e-05,5.543434983969891e-06,2.284502846916382e-16,4.264337422199571e-17,0.0001284961407823637,-1.375,True
0.7417649320975901,42.5,0.07498942093324558,-0.2943576816951641,0.9021890931894376,2.4649933092467236,-5.076150075301099,3.921752191908102,3.9217592852681893,1.8087221578255708e-06,7.359097922033789e-05,2.3634384998416635e-05,100000.0,10000000.0,1e-08,100000000.0,480,10,32,165292,21164,2877,8.449944464395445e-17,4.64174109594459e-18,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.00013124446789780642,1.5348235793410936e-07,1.2905294299869752e-07,4.9895454269144324e-05,6.026486081191552e-06,1.1265349138670814e-16,1.242177087913613e-14,0.00013124446789780642,-1.125,True
0.7417649320975901,42.5,0.1333521432163324,-0.2858184989852406,0.8936499104795141,2.4440338964869412,-5.214125598580156,4.05510233574576,4.055110606575163,2.0396105249176344e-06,7.699493925514171e-05,2.775029430157616e-05,100000.0,10000000.0,1e-08,100000000.0,480,10,32,165292,21164,2877,6.877782767651431e-17,9.77086921338616e-18,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.00013590263667873081,1.6667857605234815e-07,1.250084880055624e-07,4.9113670422595845e-05,6.843303079420979e-06,1.5129449242820564e-16,4.476193318998274e-16,0.00013590263667873081,-0.875,True
0.7417649320975901,42.5,0.23713737056616552,-0.27160339358331154,0.8794348050775851,2.409537463147444,-5.449576074979355,4.285594158114611,4.2856045227914805,2.4184923927972335e-06,8.289440166547667e-05,3.507061507690423e-05,100000.0,10000000.0,1e-08,100000000.0,480,10,32,165292,21164,2877,1.653263776525863e-16,1.9628799561276636e-17,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.00014354184930742697,1.8760170816811694e-07,1.1728356286155872e-07,4.788311890591146e-05,8.183372896031078e-06,1.653263776525863e-16,5.026980929878448e-14,0.00014354184930742697,-0.625,True
0.7417649320975901,42.5,0.4216965034285822,-0.24872070849084071,0.8565521199851143,2.3550268295297343,-5.838863494986451,4.67587624300961,4.675890306583403,3.007687342737597e-06,9.291131469139004e-05,4.800409764094127e-05,100000.0,10000000.0,1e-08,100000000.0,480,10,32,165292,21164,2877,8.696214176472082e-17,2.955123415006696e-14,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.00015545594965526988,2.188393832813773e-07,1.0495351054906621e-07,4.61038418999582e-05,1.0266331944244018e-05,8.696214176472082e-17,2.955123415006696e-14,0.00015545594965526988,-0.375,True
0.7417649320975901,42.5,0.7498942093324559,-0.2131578769773934,0.820989288471667,2.2727471282727256,-6.44778674453468,5.314878522323465,5.314899012130379,3.855178783096491e-06,0.00010932183344007477,7.047610629928869e-05,100000.0,10000000.0,1e-08,100000000.0,480,10,32,165292,21164,2877,1.7538849317230469e-16,2.8024827719641263e-13,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.0001727445738410882,2.6075993653229546e-07,8.541486962165834e-08,4.386223289376545e-05,1.32601537369624e-05,1.7538849317230469e-16,2.8024827719641263e-13,0.0001727445738410882,-0.125,True
0.8290313946973066,47.5,0.011547819846894581,-0.1690987837737088,0.864307631230016,2.373362275061997,-3.8747016847721234,3.3142637205258714,3.3142693452508167,1.6971265475174135e-06,5.638802162442818e-05,1.884006438812591e-05,100000.0,10000000.0,1e-08,100000000.0,480,11,31,165292,21164,2877,1.713628384451886e-16,5.830420573358563e-18,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.00010196863885858498,1.535440452560266e-07,1.217595742009081e-07,4.231407071886295e-05,5.684539908953466e-06,1.713628384451886e-16,2.270084460042576e-15,0.00010196863885858498,-1.9375,True
0.8290313946973066,47.5,0.01539926526059492,-0.1687415720443579,0.8639504195006651,2.3725146336220915,-3.8848432468484155,3.3239540200945052,3.323959715764695,1.7135225562903145e-06,5.653669359806041e-05,1.9087900827940985e-05,100000.0,10000000.0,1e-08,100000000.0,480,11,31,165292,21164,2877,1.2400422158942025e-16,5.669700583793791e-18,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.00010233976918283538,1.5403403885727585e-07,1.2116795411465375e-07,4.2266039560701074e-05,5.7425285405717755e-06,1.7102139380459316e-16,3.070813522789665e-16,0.00010233976918283538,-1.8125,True
0.8290313946973066,47.5,0.023713737056616554,-0.16797222676404755,0.8631810742203547,2.3706900526426256,-3.9066556677790096,3.344818976220594,3.344824824618303,1.7484945373791305e-06,5.6857074062934125e-05,1.9621180830764473e-05,100000.0,10000000.0,1e-08,100000000.0,480,11,31,165292,21164,2877,1.149864289291774e-16,6.334937376232037e-17,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.00010313348517421161,1.5517281926058502e-07,1.196422472204972e-07,4.216358316599944e-05,5.86614132790379e-06,1.3626514307348206e-16,2.3843951772832446e-15,0.00010313348517421161,-1.625,True
0.8290313946973066,47.5,0.042169650342858224,-0.16627298158096138,0.8614818290372686,2.366665089658049,-3.9546800671845066,3.3908700018272495,3.390876189781317,1.8248868474124436e-06,5.7566331357861096e-05,2.0806899293290826e-05,100000.0,10000000.0,1e-08,100000000.0,480,11,31,165292,21164,2877,1.2241506329473654e-16,5.565336719481088e-18,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.0001048585686822534,1.5771907269090946e-07,1.1654444365127858e-07,4.194140972457738e-05,6.136153636700476e-06,2.0259563265290316e-16,2.6874142864866687e-16,0.0001048585686822534,-1.375,True
0.8290313946973066,47.5,0.07498942093324558,-0.16327833813798454,0.8584871855942917,2.3595883729757876,-4.038759323884289,3.47187701470396,3.471883806873613,1.956339358955006e-06,5.882078199946746e-05,2.2917062892702234e-05,100000.0,10000000.0,1e-08,100000000.0,480,11,31,165292,21164,2877,3.076083163121752e-16,7.931202132694688e-15,2,42ea7877e84194059c00d9b0c56c2023ddad868c25049e9d1245c92b0ad95cc1,0.00010780887512673587,1.6219472898093557e-07,1.1106008757089114e-07,4.156378628028534e-05,6.6007703601379804e-06,3.076083163121752e-16,7.931202132694688e-15,0.00010780887512673587,-1.125,True
