theta_deg,log10_viscosity_ratio,Q_reference,Q_interpolated,absolute_error_Q,reference_estimated_error_Q,absolute_weighted_node_sensitivity_Q,checkpoint_error_budget_Q,table_cell_theta_index,table_cell_log10_M_index,reference_converged
92.5,-0.875,0.57684470205628435,0.57669693467524985,0.0001477673810345026,0.00013018647753659796,0.00020208508555369001,0.00048003894412479057,13,5,True
92.5,-0.625,0.45243465843842168,0.45229729685158571,0.00013736158683597122,0.0001432914140766517,0.00022048578492801232,0.00050113878584063523,13,6,True
92.5,-0.375,0.34798722332773346,0.34810541903012016,0.00011819570238669197,0.0001538276222079471,0.00022805867074465389,0.00050008199533929296,13,7,True
92.5,-0.125,0.28850373759525416,0.2882728862857738,0.00023085130948036214,0.00015900073296015726,0.00036188380033870939,0.00075173584277922879,13,8,True
97.5,-1.9375,1.0271245296328726,1.0271257600832751,1.2304504024562846e-06,8.902042790914777e-05,0.00016438311429206942,0.0002546339926036735,14,0,True
97.5,-1.8125,1.0048173131992888,1.00483911671968,2.1803520391161513e-05,9.058592021116141e-05,0.0001225190614967218,0.00023490850209904472,14,1,True
97.5,-1.625,0.95985371044522283,0.95993805629237583,8.4345847153000086e-05,9.373694235148555e-05,0.00016942120929539767,0.00034750399879988328,14,2,True
97.5,-1.375,0.87334918104348813,0.87342910787860373,7.9926835115595729e-05,9.977791387838497e-05,0.00017267341395012708,0.00035237816294410778,14,3,True
97.5,-1.125,0.75362274704567889,0.75354731792834639,7.5429117332492801e-05,0.00010807797577827571,0.00019352884582410671,0.00037703593893487523,14,4,True
97.5,-0.875,0.60900559737085325,0.60881735933760561,0.00018823803324763411,0.00011794629052142014,0.00021580351202479548,0.00052198783579384973,14,5,True
97.5,-0.625,0.46300435348230884,0.46289347981898699,0.00011087366332185322,0.0001275388590992188,0.00023475667551880244,0.00047316919793987446,14,6,True
97.5,-0.375,0.34608368584544957,0.34616621645366391,8.2530608214337331e-05,0.00013440786193641419,0.00024149862369204125,0.00045843709384279276,14,7,True
97.5,-0.125,0.28103425529758452,0.280892172678954,0.00014208261863052352,0.0001365438065413782,0.00038077258883588433,0.000659399014007786,14,8,True
102.5,-1.9375,1.157521975410758,1.1575257324200312,3.7570092732419624e-06,8.724829421424829e-05,0.00018216408179437416,0.00027316938528186444,15,0,True
102.5,-1.8125,1.1270694762035103,1.1271019570426282,3.2480839117887683e-05,8.95560507014892e-05,0.00013613938781445215,0.00025817627763382906,15,1,True
102.5,-1.625,1.0664718601089593,1.0665719028363554,0.00010004272739605469,9.41242522733976e-05,0.0001905555279578602,0.00038472250762731247,15,2,True
102.5,-1.375,0.95275943699989163,0.9528019107250485,4.2473725156866315e-05,0.00010259540888746255,0.00019714019623065743,0.00034220933027498629,15,3,True
102.5,-1.125,0.80134954608527342,0.80119826055683474,0.0001512855284386827,0.00011359768629770617,0.00022224677898761194,0.00048712999372400081,15,4,True
102.5,-0.875,0.62721271934003786,0.62700851005236569,0.00020420928767217461,0.0001256257579871356,0.00024706812178741709,0.0005769031674467273,15,5,True
102.5,-0.625,0.46057282365916563,0.46051069132685846,6.2132332307174298e-05,0.0001358993234500394,0.00026574340572551865,0.00046377506148273235,15,6,True
102.5,-0.375,0.3333500989488809,0.33337956731247137,2.9468363590468005e-05,0.0001415882222490783,0.00027120615479693196,0.00044226274063647827,15,7,True
102.5,-0.125,0.26404724582375061,0.264024884198577,2.2361625173605848e-05,0.00014120810668816208,0.00042462165537387173,0.00058819138723563967,15,8,True
107.5,-1.9375,1.2924755458694843,1.2924846189854891,9.0731160047319293e-06,8.75973767595628e-05,0.00020486689871104216,0.0003015373914753369,16,0,True
107.5,-1.8125,1.2510840510401757,1.2511305324537947,4.6481413618959522e-05,9.0943519064135e-05,0.0001534298597344595,0.000290854792417554,16,1,True
107.5,-1.625,1.1700152389377185,1.1701200658698296,0.00010482693211111282,9.743314839005812e-05,0.00021646937226086043,0.00041872945276203138,16,2,True
107.5,-1.375,1.0223919865287436,1.02236466654876,2.7319979983619902e-05,0.00010898547145954396,0.00022548647543721971,0.00036179192688038357,16,3,True
