theta_rad,Qi_direct,Qi_interpolated,abs_interpolation_error_Qi,estimated_error_Qi,spacing,radius,relative_residual,method,generator_sha256
0.625,-1.5050654063654625,-1.5050655580798111,1.5171434863958666e-07,3.2532274891750035e-06,0.050000000000000003,40,1.5619342616271534e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.67500000000000004,-1.4169585161838973,-1.4169586461848422,1.3000094489790115e-07,2.9912177650359695e-06,0.050000000000000003,40,1.3833401656812404e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.72499999999999998,-1.3333024751074947,-1.3333025879140885,1.128065938438283e-07,2.7639664648138051e-06,0.050000000000000003,40,1.0390516164836684e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.77500000000000002,-1.2533139782643041,-1.2533140772923956,9.9028091504749227e-08,2.5647739447798301e-06,0.050000000000000003,40,1.621971729977454e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.82499999999999996,-1.1763418714398266,-1.1763419593302924,8.7890465794160377e-08,2.3885672262302649e-06,0.050000000000000003,40,1.7470945812576866e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.875,-1.1018340519711465,-1.1018341308096455,7.8838499062428014e-08,2.2314352730035125e-06,0.050000000000000003,40,1.2992223337403613e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.92500000000000004,-1.0293133260184213,-1.0293133974868662,7.1468444939881692e-08,2.0903151916051854e-06,0.050000000000000003,40,1.7017235873920542e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
0.97499999999999998,-0.95835934626276953,-0.95835941174636241,6.5483592881498964e-08,1.9627746554728986e-06,0.050000000000000003,40,1.4064494939734749e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.0249999999999999,-0.88859475515110109,-0.88859481581636357,6.0665262480164017e-08,1.8468584114250675e-06,0.050000000000000003,40,2.4736645963814804e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.0750000000000002,-0.81967427609703158,-0.81967433295009706,5.685306547764668e-08,1.7409772599119577e-06,0.050000000000000003,40,1.7900753875017293e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.125,-0.75127588552176494,-0.75127593945409121,5.3932326271599607e-08,1.6438271210894584e-06,0.050000000000000003,40,1.8066259078596956e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.1749999999999998,-0.68309345075157701,-0.68309350257684742,5.182527040847873e-08,1.5543283345964554e-06,0.050000000000000003,40,2.1367428664697764e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
