theta_rad,Qi,Q_chan,log_c,c,spacing,radius,series_terms,coarse_Qi,wide_Qi,discretisation_delta_Qi,domain_delta_Qi,estimated_error_Qi,relative_residual,method,generator_sha256
1.1499999999999999,-0.71717636507296212,0.28282363492703788,0.62589837932344183,1.869925105114328,0.050000000000000003,40,3000,-0.71717796325432059,-0.71717636507292948,1.5981813584753368e-06,3.2640556923979602e-14,1.5981813584753368e-06,1.864099890570328e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.2,-0.64899031867611401,0.35100968132388599,0.57860979123328138,1.7835571895871773,0.050000000000000003,40,3000,-0.64899183083675438,-0.648990318676119,1.5121606403711851e-06,4.9960036108132044e-15,1.5121606403711851e-06,2.644817418196673e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.25,-0.58057713489359775,0.41942286510640225,0.5282144471778123,1.6959014818960347,0.050000000000000003,40,3000,-0.58057856738910596,-0.58057713489358542,1.4324955082134494e-06,1.2323475573339238e-14,1.4324955082134494e-06,1.3479147292024275e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.3,-0.51164404612576808,0.48835595387423192,0.47452164281368836,1.6072451762867972,0.050000000000000003,40,3000,-0.51164540461611119,-0.51164404612572068,1.3584903431063111e-06,4.7406523151494184e-14,1.3584903431063111e-06,1.7448335097350095e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.3500000000000001,-0.44189434114800996,0.55810565885199004,0.41731816355114709,1.5178853719171106,0.050000000000000003,40,3000,-0.44189563070296423,-0.44189434114797949,1.2895549542646378e-06,3.0475622025960547e-14,1.2895549542646378e-06,1.9214172274805416e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.3999999999999999,-0.37102229509931756,0.62897770490068239,0.35636513175743245,1.4281289082936259,0.050000000000000003,40,3000,-0.37102352028553653,-0.37102229509934287,1.2251862189782692e-06,2.5313084961453569e-14,1.2251862189782692e-06,1.8317814142031725e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.45,-0.29870798655058661,0.70129201344941339,0.29139429764804348,1.3382921653843467,0.050000000000000003,40,3000,-0.29870915150354782,-0.29870798655055197,1.1649529612078879e-06,3.4638958368304884e-14,1.1649529612078879e-06,2.0982877237610861e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.5,-0.22461181373850647,0.77538818626149353,0.22210365754691008,1.248700808418566,0.050000000000000003,40,3000,-0.22461292222288892,-0.22461181373847003,1.1084843824504809e-06,3.6443070783320763e-14,1.1084843824504809e-06,1.8342247817714222e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.55,-0.14836851360222825,0.85163148639777175,0.14815225440925153,1.1596894507542803,0.050000000000000003,40,3000,-0.14836956906236465,-0.14836851360221703,1.0554601364010097e-06,1.1213252548714081e-14,1.0554601364010097e-06,2.2080477361932196e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.5707963267948966,-0.11593151565841242,0.88406848434158758,0.11593151565841242,1.1229189671337703,0,0,0,-0.11593151565841242,-0.11593151565841242,0,0,0,0,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.6000000000000001,-0.069580466314829212,0.93041953368517083,0.069153978423301246,1.0716011999086814,0.050000000000000003,40,3000,-0.069581471917764537,-0.069580466314814557,1.005602935325034e-06,1.4654943925052066e-14,1.005602935325034e-06,2.1719445151582379e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.6499999999999999,0.012189966744762382,1.0121899667447625,-0.015329862608564684,0.98478704159773478,0.050000000000000003,40,3000,0.012189008073077408,0.012189966744888897,9.5867168497382194e-07,1.2651511782646452e-13,9.5867168497382194e-07,2.4112402078541276e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.7,0.097429374879876449,1.0974293748798765,-0.10579949636478164,0.89960500406788002,0.050000000000000003,40,3000,0.097428460422754992,0.097429374879907604,9.1445712145643565e-07,3.1155633628543455e-14,9.1445712145643565e-07,2.6736611291259038e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.75,0.18668387523470853,1.1866838752347086,-0.20282753889875357,0.81641902980996062,0.050000000000000003,40,3000,0.1866830024582154,0.18668387523475805,8.7277649313266537e-07,4.9515946898281982e-14,8.7277649313266537e-07,2.6330874111952533e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.8,0.28057181024737643,1.2805718102473764,-0.30707223429446473,0.73559746362431444,0.050000000000000003,40,3000,0.2805709767767578,0.28057181024741618,8.3347061863303651e-07,3.9745984281580604e-14,8.3347061863303651e-07,1.8159478434409318e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.8500000000000001,0.37979917727273593,1.3797991772727358,-0.41929371681873029,0.65751104485106882,0.050000000000000003,40,3000,0.37979838087214673,0.37979917727275075,7.9640058919805412e-07,1.482147737874584e-14,7.9640058919805412e-07,1.8161701262709619e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.8999999999999999,0.48517859068329816,1.4851785906832982,-0.54037413348781127,0.58253026751807302,0.050000000000000003,40,3000,0.48517782923780822,0.4851785906833388,7.6144548993850592e-07,4.0634162701280729e-14,7.6144548993850592e-07,1.8102840511402172e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
1.95,0.59765283786935663,1.5976528378693566,-0.67134274280580564,0.51102194586325222,0.050000000000000003,40,3000,0.59765210936971314,0.59765283786937795,7.2849964349863683e-07,2.1316282072803006e-14,7.2849964349863683e-07,1.8693837251443431e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2,0.71832445576815485,1.7183244557681547,-0.8134074918633154,0.44334479567471147,0.050000000000000003,40,3000,0.71832375829630923,0.71832445576843662,6.9747184561208542e-07,2.8177460364986473e-13,6.9747184561208542e-07,2.1630041816146723e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.0499999999999998,0.84849327119953044,1.8484932711995303,-0.96799511845406705,0.37984381707189335,0.050000000000000003,40,3000,0.84849260291686046,0.84849327119960893,6.6828266997998043e-07,7.8492767840998567e-14,6.6828266997998043e-07,2.1627627633620419e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.1000000000000001,0.98970458880173739,1.9897045888017373,-1.1368026028227405,0.32084324680835852,0.050000000000000003,40,3000,0.98970394793807337,0.98970458880194823,6.4086366402538175e-07,2.1083135237631723e-13,6.4086366402538175e-07,2.6041327934928235e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.1499999999999999,1.1438117874092002,2.1438117874092004,-1.321863922211364,0.26663784629643444,0.050000000000000003,40,3000,1.1438111722519468,1.1438117874096805,6.1515725335858917e-07,4.8028248045284272e-13,6.1515725335858917e-07,2.9164752786139841e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.2000000000000002,1.3130586778135642,2.3130586778135642,-1.525637725754307,0.21748231855578892,0.050000000000000003,40,3000,1.313058086697994,1.3130586778163646,5.9111557026980677e-07,2.8004265573144949e-12,5.9111557026980677e-07,1.7950222332155403e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
2.2124999999999999,1.3580446338093597,2.3580446338093597,-1.579842630210408,0.20600751501339543,0.050000000000000003,40,3000,1.3580440484483989,1.3580446338132421,5.853609608141852e-07,3.8824499171141724e-12,5.853609608141852e-07,1.8335467561318077e-15,scott-2020-regularised-nystrom-v1,ad64d1fc746573f0ddb77d4c7c70cbb73ea997be025338cbf14aaf058317a04e
